index, x, y
1433, 42, 17
1434, 43, 17
1435, 44, 17
1436, 45, 17
1437, 46, 17
1438, 47, 17
1439, 48, 17
1440, 49, 17
1441, 0, 16
1442, 1, 16
1443, 2, 16
1444, 3, 16
1445, 4, 16
1446, 5, 16
1447, 6, 16
1448, 7, 16
1449, 8, 16
1450, 9, 16
1451, 10, 16
1452, 11, 16
1453, 12, 16
1454, 13, 16
1455, 14, 16
1456, 15, 16
1457, 16, 16
1458, 17, 16
1459, 18, 16
1460, 19, 16
1461, 20, 16
1462, 21, 16
1463, 22, 16
1464, 23, 16
1465, 24, 16
1466, 25, 16
1467, 26, 16
1468, 27, 16
1469, 28, 16
1470, 29, 16
1471, 30, 16
1472, 31, 16
1473, 32, 16
1474, 33, 16
1475, 34, 16
1476, 35, 16
1477, 36, 16
1478, 37, 16
1479, 38, 16
1480, 39, 16
1481, 40, 16
1482, 41, 16
1483, 42, 16
1484, 43, 16
1485, 44, 16
1486, 45, 16
1487, 46, 16
1488, 47, 16
1489, 48, 16
1490, 49, 16
1491, 0, 15
1492, 1, 15
1493, 2, 15
1494, 3, 15
1495, 4, 15
1496, 5, 15
1497, 6, 15
1498, 7, 15
1499, 8, 15
1500, 9, 15
1501, 10, 15
1502, 11, 15
1503, 12, 15
1504, 13, 15
1505, 14, 15
1506, 15, 15
1507, 16, 15
1508, 17, 15
1509, 18, 15
1510, 19, 15
1511, 20, 15
1512, 21, 15
1513, 22, 15
1514, 23, 15
1515, 24, 15
1516, 25, 15
1517, 26, 15
1518, 27, 15
1519, 28, 15
1520, 29, 15
1521, 30, 15
1522, 31, 15
1523, 32, 15
1524, 33, 15
1525, 34, 15
1526, 35, 15
1527, 36, 15
1528, 37, 15
1529, 38, 15
1530, 39, 15
1531, 40, 15
1532, 41, 15
1533, 42, 15
1534, 43, 15
1535, 44, 15
1536, 45, 15
1537, 46, 15
1538, 47, 15
1539, 48, 15
1540, 49, 15
1541, 0, 14
1542, 1, 14
1543, 2, 14
1544, 3, 14
1545, 4, 14
1546, 5, 14
1547, 6, 14
1548, 7, 14
1549, 8, 14
1550, 9, 14
1551, 10, 14
1552, 11, 14
1553, 12, 14
1554, 13, 14
1555, 14, 14
1556, 15, 14
1557, 16, 14
1558, 17, 14
1559, 18, 14
1560, 19, 14
1561, 20, 14
1562, 21, 14
1563, 22, 14
1564, 23, 14
1565, 24, 14
1566, 25, 14
1567, 26, 14
1568, 27, 14
1569, 28, 14
1570, 29, 14
1571, 30, 14
1572, 31, 14
1573, 32, 14
1574, 33, 14
1575, 34, 14
1576, 35, 14
1577, 36, 14
1578, 37, 14
1579, 38, 14
1580, 39, 14
1581, 40, 14
1582, 41, 14
1583, 42, 14
1584, 43, 14
1585, 44, 14
1586, 45, 14
1587, 46, 14
1588, 47, 14
1589, 48, 14
1590, 49, 14
