index, temperature
991, 30.0
992, 34.2668893253
993, 38.5328978671
994, 42.7971315417
995, 47.0586695968
996, 51.3165511169
997, 55.5697613531
998, 59.8172178515
999, 64.0577563816
1000, 68.290116704
1001, 72.5129282609
1002, 76.7246959314
1003, 80.9237860568
1004, 85.1084130173
1005, 89.2766267231
1006, 93.4263014673
1007, 97.5551266753
1008, 101.660600158
1009, 105.74002454
1010, 109.790507548
1011, 113.808966848
1012, 117.792140024
1013, 121.736600155
1014, 125.638777214
1015, 129.494985206
1016, 133.301454555
1017, 137.054368816
1018, 140.749904258
1019, 144.384270405
1020, 147.953749082
1021, 151.454729092
1022, 154.883733192
1023, 158.237433573
1024, 161.512651392
1025, 164.706334948
1026, 167.815509391
1027, 170.837188006
1028, 173.768230225
1029, 176.605123347
1030, 179.343651258
1031, 181.978390734
1032, 184.50193855
1033, 186.903712395
1034, 189.168076829
1035, 191.271424292
1036, 193.177746082
1037, 194.832400278
1038, 196.154985331
1039, 197.036340185
1040, 197.354538012
1041, 30.0
1042, 34.2151563504
1043, 38.4292619946
1044, 42.6412535483
1045, 46.8500422332
1046, 51.0545010912
1047, 55.2534521079
1048, 59.4456532463
1049, 63.6297854108
1050, 67.8044394013
1051, 71.9681029488
1052, 76.119147977
1053, 80.2558182824
1054, 84.3762178868
1055, 88.4783003767
1056, 92.5598596044
1057, 96.6185221858
1058, 100.65174227
1059, 104.65679909
1060, 108.630797786
1061, 112.57067398
1062, 116.473202452
1063, 120.335010161
1064, 124.152593612
1065, 127.922340311
1066, 131.640553717
1067, 135.303480698
1068, 138.9073401
1069, 142.448350572
1070, 145.92275536
1071, 149.326841303
1072, 152.656948771
1073, 155.909468668
1074, 159.080821836
1075, 162.167414968
1076, 165.165565306
1077, 168.071383484
1078, 170.880599366
1079, 173.588308766
1080, 176.18860845
1081, 178.674071514
1082, 181.034994079
1083, 183.258318534
1084, 185.326116834
1085, 187.213529112
1086, 188.886178019
1087, 190.297501681
1088, 191.387507505
1089, 192.086499022
1090, 192.32971005
1091, 30.0
1092, 34.1644740818
1093, 38.3277402126
1094, 42.4885784237
1095, 46.6457446968
1096, 50.7979589066
1097, 54.9438927412
1098, 59.0821576148
1099, 63.2112926141
1100, 67.3297525415
1101, 71.4358961559
1102, 75.5279747453
1103, 79.6041212089
1104, 83.662339871
1105, 87.7004972923
1106, 91.7163143877
1107, 95.707360193
1108, 99.6710476477
1109, 103.604631763
1110, 107.505210527
1111, 111.369728833
1112, 115.194985642
1113, 118.977644425
1114, 122.714246761
1115, 126.40122871
1116, 130.034939303
1117, 133.611660161
1118, 137.127624873
1119, 140.579036423
1120, 143.962080482
1121, 147.272931991
1122, 150.507751921
1123, 153.662670492
1124, 156.733752315
1125, 159.716937783
1126, 162.607953382
1127, 165.402181259
1128, 168.094474991
1129, 170.6789039
1130, 173.148402263
1131, 175.494292794
1132, 177.705647718
1133, 179.768450829
1134, 181.66454286
1135, 183.370397303
1136, 184.8559352
1137, 186.083920923
1138, 187.011043986
1139, 187.592438349
1140, 187.791304144
1141, 30.0
1142, 34.1149997643
1143, 38.2286463502
1144, 42.3395752372
1145, 46.4463992235
1146, 50.5476970973
1147, 54.6420023354
1148, 58.7277918578
1149, 62.8034748892
1150, 66.8673819946
1151, 70.9177543881
1152, 74.9527336394
1153, 78.970351937
1154, 82.9685230959
1155, 86.9450345339
1156, 90.8975404611
1157, 94.8235565508
1158, 98.7204563639
1159, 102.585469789
1160, 106.415683726
1161, 110.208045184
1162, 113.959366858
1163, 117.666335137
1164, 121.325520297
1165, 124.933388463
1166, 128.486314626
1167, 131.980595768
1168, 135.412462808
1169, 138.778089764
1170, 142.073598153
1171, 145.295054258
1172, 148.43845643
1173, 151.499709063
1174, 154.474579151
1175, 157.358630466
1176, 160.147129179
1177, 162.834913179
1178, 165.416215437
1179, 167.884429579
1180, 170.231803908
1181, 172.449049682
1182, 174.524853169
1183, 176.445294204
1184, 178.193206473
1185, 179.74758204
1186, 181.083244556
1187, 182.171202826
1188, 182.980309167
1189, 183.480906245
1190, 183.650629828
1191, 30.0
1192, 34.0668786252
1193, 38.1322701868
1194, 42.1946769514
1195, 46.2525798626
1196, 50.3044279239
1197, 54.3486276451
1198, 58.3835325918
1199, 62.4074330903
1200, 66.4185461596
1201, 70.4150057623
1202, 74.3948534874
1203, 78.3560298036
1204, 82.2963660417
1205, 86.2135772862
1206, 90.105256372
1207, 93.9688691853
1208, 97.8017514683
1209, 101.601107302
1210, 105.364009404
1211, 109.087401318
1212, 112.768101471
1213, 116.402808966
1214, 119.988110827
1215, 123.52049022
1216, 126.996334971
1217, 130.411945477
1218, 133.763540826
1219, 137.047261672
1220, 140.25916811
1221, 143.395230457
1222, 146.451310479
1223, 149.42313018
1224, 152.306224758
1225, 155.095875752
1226, 157.78701969
1227, 160.37412684
1228, 162.851044
1229, 165.210795072
1230, 167.445334106
1231, 169.545248856
1232, 171.499421072
1233, 173.294666345
1234, 174.915406789
1235, 176.343479828
1236, 177.558258156
1237, 178.537336657
1238, 179.258083613
1239, 179.700247634
1240, 179.849402677
1241, 30.0
1242, 34.0202445498
1243, 38.0388788203
1244, 42.0542825189
1245, 46.0648153517
1246, 50.0688070905
1247, 54.0645477294
1248, 58.0502777741
1249, 62.0241787206
1250, 65.9843637914
1251, 69.9288690141
1252, 73.8556447443
1253, 77.7625477485
1254, 81.6473339809
1255, 85.5076521974
1256, 89.3410385553
1257, 93.1449123501
1258, 96.9165730221
1259, 100.653198546
1260, 104.351845271
1261, 108.009449214
1262, 111.62282874
1263, 115.188688428
1264, 118.703623827
1265, 122.164126619
1266, 125.56658956
1267, 128.907310343
1268, 132.182493347
1269, 135.388247988
1270, 138.520582158
1271, 141.575388981
1272, 144.54842485
1273, 147.435276419
1274, 150.23131395
1275, 152.931628093
1276, 155.530946988
1277, 158.023530492
1278, 160.40303865
1279, 162.662372604
1280, 164.793488589
1281, 166.787190566
1282, 168.632915916
1283, 170.318543316
1284, 171.830274509
1285, 173.152672328
1286, 174.268971585
1287, 175.161802031
1288, 175.814440993
1289, 176.212598001
1290, 176.346485614
1291, 30.0
1292, 33.9752207536
1293, 37.9487180258
1294, 41.9187589522
1295, 45.8835919347
1296, 49.8414373571
1297, 53.7904784078
1298, 57.7288520545
1299, 61.6546402266
1300, 65.5658612711
1301, 69.4604617586
1302, 73.3363087273
1303, 77.191182465
1304, 81.0227699362
1305, 84.828658967
1306, 88.6063333019
1307, 92.3531686378
1308, 96.0664297239
1309, 99.7432685896
1310, 103.380723918
1311, 106.975721528
1312, 110.525075848
1313, 114.02549218
1314, 117.473569432
1315, 120.865802869
1316, 124.198586308
1317, 127.468212989
1318, 130.670874231
1319, 133.802654774
1320, 136.859523553
1321, 139.83731846
1322, 142.731723519
1323, 145.538236697
1324, 148.252126531
1325, 150.868375683
1326, 153.381609678
1327, 155.786009489
1328, 158.075207504
1329, 160.242168107
1330, 162.279057078
1331, 164.177108903
1332, 165.926508711
1333, 167.516316493
1334, 168.934475602
1335, 170.167963391
1336, 171.203153823
1337, 172.026458891
1338, 172.625280328
1339, 172.989217762
1340, 173.111343778
1341, 30.0
1342, 33.9319204387
1343, 37.862013577
1344, 41.7884433295
1345, 45.7093560777
1346, 49.6228719953
1347, 53.5270764903
1348, 57.4200118095
1349, 61.2996688602
1350, 65.1639793079
1351, 69.0108080217
1352, 72.8379459411
1353, 76.6431034481
1354, 80.4239043319
1355, 84.1778804324
1356, 87.9024670474
1357, 91.5949991752
1358, 95.2527086463
1359, 98.8727221704
1360, 102.452060284
1361, 105.987637131
1362, 109.476260942
1363, 112.914635013
1364, 116.299358851
1365, 119.626929119
1366, 122.893739813
1367, 126.096081073
1368, 129.230135813
1369, 132.291973326
1370, 135.277538818
1371, 138.182637788
1372, 141.002914069
1373, 143.733820318
1374, 146.370579794
1375, 148.908138429
1376, 151.341106552
1377, 153.663690282
1378, 155.869613769
1379, 157.952035242
1380, 159.903462713
1381, 161.715679258
1382, 163.379693532
1383, 164.885738343
1384, 166.223348017
1385, 167.38155181
1386, 168.349221426
1387, 169.115599383
1388, 169.671003664
1389, 170.007648941
1390, 170.120453974
1391, 30.0
1392, 33.8904474244
1393, 37.778972514
1394, 41.6636447112
1395, 45.5425170514
1396, 49.4136180561
1397, 53.2749437484
1398, 57.1244498332
1399, 60.9600440967
1400, 64.7795790786
1401, 68.5808450794
1402, 72.3615635674
1403, 76.1193810545
1404, 79.8518635109
1405, 83.5564913832
1406, 87.2306552802
1407, 90.8716523693
1408, 94.4766835155
1409, 98.0428511619
1410, 101.567157917
1411, 105.046505768
1412, 108.477695779
1413, 111.857428077
1414, 115.182301842
1415, 118.44881494
1416, 121.653362754
1417, 124.792235675
1418, 127.861614623
1419, 130.8575639
1420, 133.776020605
1421, 136.612779804
1422, 139.363474651
1423, 142.023550712
1424, 144.588233897
1425, 147.052491688
1426, 149.410987817
1427, 151.65803132
1428, 153.787522047
1429, 155.792896379
1430, 157.667079273
1431, 159.402451883
1432, 160.990847818
1433, 162.423595328
1434, 163.691626313
1435, 164.785674405
1436, 165.696580688
1437, 166.415713551
1438, 166.935486005
1439, 167.249920363
1440, 167.355174237
1441, 30.0
1442, 33.8508967448
1443, 37.6997843433
1444, 41.5446459501
1445, 45.3834493603
1446, 49.2141394295
1447, 53.034630614
1448, 56.8427996782
1449, 60.6364786147
1450, 64.4134478304
1451, 68.1714296499
1452, 71.9080821944
1453, 75.6209936918
1454, 79.3076772737
1455, 82.9655663095
1456, 86.592010321
1457, 90.1842715064
1458, 93.7395218845
1459, 97.2548410445
1460, 100.727214455
1461, 104.153532245
